age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
65,female,0.0011185077381881722,0.01394140309967092,0.21353873609175938,0.010482658543807234,7283,copd,0,50,65,11,8,5,female_copd,sheffield
66,female,0.0011185077381881722,0.01394140309967092,0.21353873609175938,0.010482658543807234,7283,copd,0,50,65,11,8,5,female_copd,sheffield
67,female,0.0011185077381881722,0.01394140309967092,0.21353873609175938,0.010482658543807234,7283,copd,0,50,65,11,8,5,female_copd,sheffield
68,female,0.0011185077381881722,0.01394140309967092,0.21353873609175938,0.010482658543807234,7283,copd,0,50,65,11,8,5,female_copd,sheffield
69,female,0.0011185077381881722,0.01394140309967092,0.21353873609175938,0.010482658543807234,7283,copd,0,50,65,11,8,5,female_copd,sheffield
70,female,0.0018803278818460315,0.0173498132459082,0.2621977161044081,0.010877916116414026,6583,copd,0,50,70,13,12,5,female_copd,sheffield
71,female,0.0018803278818460315,0.0173498132459082,0.2621977161044081,0.010877916116414026,6583,copd,0,50,70,13,12,5,female_copd,sheffield
72,female,0.0018803278818460315,0.0173498132459082,0.2621977161044081,0.010877916116414026,6583,copd,0,50,70,13,12,5,female_copd,sheffield
73,female,0.0018803278818460315,0.0173498132459082,0.2621977161044081,0.010877916116414026,6583,copd,0,50,70,13,12,5,female_copd,sheffield
74,female,0.0018803278818460315,0.0173498132459082,0.2621977161044081,0.010877916116414026,6583,copd,0,50,70,13,12,5,female_copd,sheffield
75,female,0.0032909108813507252,0.020293141751896494,0.3051828465702324,0.009449821300607656,5053,copd,0,50,75,15,17,5,female_copd,sheffield
76,female,0.0032909108813507252,0.020293141751896494,0.3051828465702324,0.009449821300607656,5053,copd,0,50,75,15,17,5,female_copd,sheffield
77,female,0.0032909108813507252,0.020293141751896494,0.3051828465702324,0.009449821300607656,5053,copd,0,50,75,15,17,5,female_copd,sheffield
78,female,0.0032909108813507252,0.020293141751896494,0.3051828465702324,0.009449821300607656,5053,copd,0,50,75,15,17,5,female_copd,sheffield
79,female,0.0032909108813507252,0.020293141751896494,0.3051828465702324,0.009449821300607656,5053,copd,0,50,75,15,17,5,female_copd,sheffield
80,female,0.005113119235969285,0.022279506036290666,0.3348083244282429,0.008150429870160325,3875,copd,0,20,80,7,20,5,female_copd,sheffield
81,female,0.005113119235969285,0.022279506036290666,0.3348083244282429,0.008150429870160325,3875,copd,0,20,80,7,20,5,female_copd,sheffield
82,female,0.005113119235969285,0.022279506036290666,0.3348083244282429,0.008150429870160325,3875,copd,0,20,80,7,20,5,female_copd,sheffield
83,female,0.005113119235969285,0.022279506036290666,0.3348083244282429,0.008150429870160325,3875,copd,0,20,80,7,20,5,female_copd,sheffield
84,female,0.005113119235969285,0.022279506036290666,0.3348083244282429,0.008150429870160325,3875,copd,0,20,80,7,20,5,female_copd,sheffield
85,female,0.007740570387419421,0.023381551045829837,0.35710151979261423,0.009304361608144438,2425,copd,0,20,85,7,19,5,female_copd,sheffield
86,female,0.007740570387419421,0.023381551045829837,0.35710151979261423,0.009304361608144438,2425,copd,0,20,85,7,19,5,female_copd,sheffield
87,female,0.007740570387419421,0.023381551045829837,0.35710151979261423,0.009304361608144438,2425,copd,0,20,85,7,19,5,female_copd,sheffield
88,female,0.007740570387419421,0.023381551045829837,0.35710151979261423,0.009304361608144438,2425,copd,0,20,85,7,19,5,female_copd,sheffield
89,female,0.007740570387419421,0.023381551045829837,0.35710151979261423,0.009304361608144438,2425,copd,0,20,85,7,19,5,female_copd,sheffield
90,female,0.011518782419305413,0.024764333381107728,0.3885902393524365,0.015956920817724856,1113,copd,0,10,90,4,13,5,female_copd,sheffield
91,female,0.011518782419305413,0.024764333381107728,0.3885902393524365,0.015956920817724856,1113,copd,0,10,90,4,13,5,female_copd,sheffield
92,female,0.011518782419305413,0.024764333381107728,0.3885902393524365,0.015956920817724856,1113,copd,0,10,90,4,13,5,female_copd,sheffield
93,female,0.011518782419305413,0.024764333381107728,0.3885902393524365,0.015956920817724856,1113,copd,0,10,90,4,13,5,female_copd,sheffield
94,female,0.011518782419305413,0.024764333381107728,0.3885902393524365,0.015956920817724856,1113,copd,0,10,90,4,13,5,female_copd,sheffield
95,female,0.020043814725076953,0.02736886743744819,0.44672710120440456,0.02460279501965226,284,copd,0,10,95,4,6,6,female_copd,sheffield
96,female,0.020043814725076953,0.02736886743744819,0.44672710120440456,0.02460279501965226,284,copd,0,10,95,4,6,6,female_copd,sheffield
97,female,0.020043814725076953,0.02736886743744819,0.44672710120440456,0.02460279501965226,284,copd,0,10,95,4,6,6,female_copd,sheffield
98,female,0.020043814725076953,0.02736886743744819,0.44672710120440456,0.02460279501965226,284,copd,0,10,95,4,6,6,female_copd,sheffield
99,female,0.020043814725076953,0.02736886743744819,0.44672710120440456,0.02460279501965226,284,copd,0,10,95,4,6,6,female_copd,sheffield
100,female,0.020043814725076953,0.02736886743744819,0.44672710120440456,0.02460279501965226,284,copd,0,10,95,4,6,6,female_copd,sheffield
