age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
36,male,3.8423608065611595e-6,0.001464242934855747,0.02529535859137735,0.0019440410919522601,40147,copd,0,50,35,1,0,5,male_copd,East of England
37,male,3.8423608065611595e-6,0.001464242934855747,0.02529535859137735,0.0019440410919522601,40147,copd,0,50,35,1,0,5,male_copd,East of England
38,male,3.8423608065611595e-6,0.001464242934855747,0.02529535859137735,0.0019440410919522601,40147,copd,0,50,35,1,0,5,male_copd,East of England
39,male,3.8423608065611595e-6,0.001464242934855747,0.02529535859137735,0.0019440410919522601,40147,copd,0,50,35,1,0,5,male_copd,East of England
40,male,1.1548270952651922e-5,0.00212544169959707,0.03707579413580652,0.0027952440372127677,39118,copd,0,50,40,2,0,5,male_copd,East of England
41,male,1.1548270952651922e-5,0.00212544169959707,0.03707579413580652,0.0027952440372127677,39118,copd,0,50,40,2,0,5,male_copd,East of England
42,male,1.1548270952651922e-5,0.00212544169959707,0.03707579413580652,0.0027952440372127677,39118,copd,0,50,40,2,0,5,male_copd,East of England
43,male,1.1548270952651922e-5,0.00212544169959707,0.03707579413580652,0.0027952440372127677,39118,copd,0,50,40,2,0,5,male_copd,East of England
44,male,1.1548270952651922e-5,0.00212544169959707,0.03707579413580652,0.0027952440372127677,39118,copd,0,50,40,2,0,5,male_copd,East of England
45,male,2.4415960600486815e-5,0.003050133254215597,0.05348948934768159,0.0038950687020622315,43636,copd,0,50,45,3,1,5,male_copd,East of England
46,male,2.4415960600486815e-5,0.003050133254215597,0.05348948934768159,0.0038950687020622315,43636,copd,0,50,45,3,1,5,male_copd,East of England
47,male,2.4415960600486815e-5,0.003050133254215597,0.05348948934768159,0.0038950687020622315,43636,copd,0,50,45,3,1,5,male_copd,East of England
48,male,2.4415960600486815e-5,0.003050133254215597,0.05348948934768159,0.0038950687020622315,43636,copd,0,50,45,3,1,5,male_copd,East of England
49,male,2.4415960600486815e-5,0.003050133254215597,0.05348948934768159,0.0038950687020622315,43636,copd,0,50,45,3,1,5,male_copd,East of England
50,male,6.231443999807698e-5,0.004319116552017446,0.07631061765677459,0.00536977688534221,43729,copd,0,50,50,4,3,5,male_copd,East of England
51,male,6.231443999807698e-5,0.004319116552017446,0.07631061765677459,0.00536977688534221,43729,copd,0,50,50,4,3,5,male_copd,East of England
52,male,6.231443999807698e-5,0.004319116552017446,0.07631061765677459,0.00536977688534221,43729,copd,0,50,50,4,3,5,male_copd,East of England
53,male,6.231443999807698e-5,0.004319116552017446,0.07631061765677459,0.00536977688534221,43729,copd,0,50,50,4,3,5,male_copd,East of England
54,male,6.231443999807698e-5,0.004319116552017446,0.07631061765677459,0.00536977688534221,43729,copd,0,50,50,4,3,5,male_copd,East of England
55,male,1.533253269437811e-4,0.005972769652490664,0.10641579083951302,0.006822095511942026,38691,copd,0,50,55,5,6,5,male_copd,East of England
56,male,1.533253269437811e-4,0.005972769652490664,0.10641579083951302,0.006822095511942026,38691,copd,0,50,55,5,6,5,male_copd,East of England
57,male,1.533253269437811e-4,0.005972769652490664,0.10641579083951302,0.006822095511942026,38691,copd,0,50,55,5,6,5,male_copd,East of England
58,male,1.533253269437811e-4,0.005972769652490664,0.10641579083951302,0.006822095511942026,38691,copd,0,50,55,5,6,5,male_copd,East of England
59,male,1.533253269437811e-4,0.005972769652490664,0.10641579083951302,0.006822095511942026,38691,copd,0,50,55,5,6,5,male_copd,East of England
60,male,3.8996886429339014e-4,0.008021218397048986,0.14297482510343895,0.00830468379266841,33062,copd,0,50,60,7,13,5,male_copd,East of England
61,male,3.8996886429339014e-4,0.008021218397048986,0.14297482510343895,0.00830468379266841,33062,copd,0,50,60,7,13,5,male_copd,East of England
62,male,3.8996886429339014e-4,0.008021218397048986,0.14297482510343895,0.00830468379266841,33062,copd,0,50,60,7,13,5,male_copd,East of England
63,male,3.8996886429339014e-4,0.008021218397048986,0.14297482510343895,0.00830468379266841,33062,copd,0,50,60,7,13,5,male_copd,East of England
64,male,3.8996886429339014e-4,0.008021218397048986,0.14297482510343895,0.00830468379266841,33062,copd,0,50,60,7,13,5,male_copd,East of England
