age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
83,male,0.00475288654577004,0.001033322085757757,0.005039216583923028,0.0049823037690770134,5479,tbalc,0,20,80,0,26,5,male_tbalc,westmidlands
84,male,0.00475288654577004,0.001033322085757757,0.005039216583923028,0.0049823037690770134,5479,tbalc,0,20,80,0,26,5,male_tbalc,westmidlands
85,male,0.006414431927460967,0.0013460403657614382,0.0062922110411404815,0.006733126795751669,2957,tbalc,0,20,85,0,19,5,male_tbalc,westmidlands
86,male,0.006414431927460967,0.0013460403657614382,0.0062922110411404815,0.006733126795751669,2957,tbalc,0,20,85,0,19,5,male_tbalc,westmidlands
87,male,0.006414431927460967,0.0013460403657614382,0.0062922110411404815,0.006733126795751669,2957,tbalc,0,20,85,0,19,5,male_tbalc,westmidlands
88,male,0.006414431927460967,0.0013460403657614382,0.0062922110411404815,0.006733126795751669,2957,tbalc,0,20,85,0,19,5,male_tbalc,westmidlands
89,male,0.006414431927460967,0.0013460403657614382,0.0062922110411404815,0.006733126795751669,2957,tbalc,0,20,85,0,19,5,male_tbalc,westmidlands
90,male,0.006016892879943818,0.0012195503851583015,0.005424739642095374,0.006343715779443618,1059,tbalc,0,10,90,0,6,5,male_tbalc,westmidlands
91,male,0.006016892879943818,0.0012195503851583015,0.005424739642095374,0.006343715779443618,1059,tbalc,0,10,90,0,6,5,male_tbalc,westmidlands
92,male,0.006016892879943818,0.0012195503851583015,0.005424739642095374,0.006343715779443618,1059,tbalc,0,10,90,0,6,5,male_tbalc,westmidlands
93,male,0.006016892879943818,0.0012195503851583015,0.005424739642095374,0.006343715779443618,1059,tbalc,0,10,90,0,6,5,male_tbalc,westmidlands
94,male,0.006016892879943818,0.0012195503851583015,0.005424739642095374,0.006343715779443618,1059,tbalc,0,10,90,0,6,5,male_tbalc,westmidlands
95,male,0.0055894900489399605,0.0010238207881698158,0.003192252515038316,0.005904639986178114,179,tbalc,0,10,95,0,1,6,male_tbalc,westmidlands
96,male,0.0055894900489399605,0.0010238207881698158,0.003192252515038316,0.005904639986178114,179,tbalc,0,10,95,0,1,6,male_tbalc,westmidlands
97,male,0.0055894900489399605,0.0010238207881698158,0.003192252515038316,0.005904639986178114,179,tbalc,0,10,95,0,1,6,male_tbalc,westmidlands
98,male,0.0055894900489399605,0.0010238207881698158,0.003192252515038316,0.005904639986178114,179,tbalc,0,10,95,0,1,6,male_tbalc,westmidlands
99,male,0.0055894900489399605,0.0010238207881698158,0.003192252515038316,0.005904639986178114,179,tbalc,0,10,95,0,1,6,male_tbalc,westmidlands
100,male,0.0055894900489399605,0.0010238207881698158,0.003192252515038316,0.005904639986178114,179,tbalc,0,10,95,0,1,6,male_tbalc,westmidlands
