age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_rdin,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
76,male,8.081589609598702e-5,0.003814871564573359,0.04851688516699149,0.00232055690942628,3332,Rdin,0,50,75,2,0,5,male_Rdin
77,male,8.081589609598702e-5,0.003814871564573359,0.04851688516699149,0.00232055690942628,3332,Rdin,0,50,75,2,0,5,male_Rdin
78,male,8.081589609598702e-5,0.003814871564573359,0.04851688516699149,0.00232055690942628,3332,Rdin,0,50,75,2,0,5,male_Rdin
79,male,8.081589609598702e-5,0.003814871564573359,0.04851688516699149,0.00232055690942628,3332,Rdin,0,50,75,2,0,5,male_Rdin
80,male,1.2636053425983375e-4,0.004826637340261824,0.05133486878743184,0.002320557450287025,2291,Rdin,0,20,80,1,0,5,male_Rdin
81,male,1.2636053425983375e-4,0.004826637340261824,0.05133486878743184,0.002320557450287025,2291,Rdin,0,20,80,1,0,5,male_Rdin
82,male,1.2636053425983375e-4,0.004826637340261824,0.05133486878743184,0.002320557450287025,2291,Rdin,0,20,80,1,0,5,male_Rdin
83,male,1.2636053425983375e-4,0.004826637340261824,0.05133486878743184,0.002320557450287025,2291,Rdin,0,20,80,1,0,5,male_Rdin
84,male,1.2636053425983375e-4,0.004826637340261824,0.05133486878743184,0.002320557450287025,2291,Rdin,0,20,80,1,0,5,male_Rdin
85,male,2.007067332645675e-4,0.005622668425599348,0.0542660331546827,0.0022685624099888016,1276,Rdin,0,20,85,1,0,5,male_Rdin
86,male,2.007067332645675e-4,0.005622668425599348,0.0542660331546827,0.0022685624099888016,1276,Rdin,0,20,85,1,0,5,male_Rdin
87,male,2.007067332645675e-4,0.005622668425599348,0.0542660331546827,0.0022685624099888016,1276,Rdin,0,20,85,1,0,5,male_Rdin
88,male,2.007067332645675e-4,0.005622668425599348,0.0542660331546827,0.0022685624099888016,1276,Rdin,0,20,85,1,0,5,male_Rdin
89,male,2.007067332645675e-4,0.005622668425599348,0.0542660331546827,0.0022685624099888016,1276,Rdin,0,20,85,1,0,5,male_Rdin
90,male,2.530777434593025e-4,0.006502076198877796,0.058089683069777104,0.002288027906373402,506,Rdin,0,10,90,1,0,5,male_Rdin
91,male,2.530777434593025e-4,0.006502076198877796,0.058089683069777104,0.002288027906373402,506,Rdin,0,10,90,1,0,5,male_Rdin
92,male,2.530777434593025e-4,0.006502076198877796,0.058089683069777104,0.002288027906373402,506,Rdin,0,10,90,1,0,5,male_Rdin
93,male,2.530777434593025e-4,0.006502076198877796,0.058089683069777104,0.002288027906373402,506,Rdin,0,10,90,1,0,5,male_Rdin
94,male,2.530777434593025e-4,0.006502076198877796,0.058089683069777104,0.002288027906373402,506,Rdin,0,10,90,1,0,5,male_Rdin
95,male,3.6996952964662603e-4,0.007417229736250054,0.06375626336200232,0.0024537317823749754,91,Rdin,0,10,95,1,0,6,male_Rdin
96,male,3.6996952964662603e-4,0.007417229736250054,0.06375626336200232,0.0024537317823749754,91,Rdin,0,10,95,1,0,6,male_Rdin
97,male,3.6996952964662603e-4,0.007417229736250054,0.06375626336200232,0.0024537317823749754,91,Rdin,0,10,95,1,0,6,male_Rdin
98,male,3.6996952964662603e-4,0.007417229736250054,0.06375626336200232,0.0024537317823749754,91,Rdin,0,10,95,1,0,6,male_Rdin
99,male,3.6996952964662603e-4,0.007417229736250054,0.06375626336200232,0.0024537317823749754,91,Rdin,0,10,95,1,0,6,male_Rdin
100,male,3.6996952964662603e-4,0.007417229736250054,0.06375626336200232,0.0024537317823749754,91,Rdin,0,10,95,1,0,6,male_Rdin
