age,sex,inc,mort,ylds (years lived with disability)_rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
84,female,0.004704538657423548,0.0020024152471355577,0.0032837013672496404,0.04022856996672283,2983,Brsc,0,20,80,1,6,5,female_Brsc
85,female,0.007883844990719306,0.0033556814503041474,0.005153992591871601,0.053877696160858544,2001,Brsc,0,20,85,1,7,5,female_Brsc
86,female,0.007883844990719306,0.0033556814503041474,0.005153992591871601,0.053877696160858544,2001,Brsc,0,20,85,1,7,5,female_Brsc
87,female,0.007883844990719306,0.0033556814503041474,0.005153992591871601,0.053877696160858544,2001,Brsc,0,20,85,1,7,5,female_Brsc
88,female,0.007883844990719306,0.0033556814503041474,0.005153992591871601,0.053877696160858544,2001,Brsc,0,20,85,1,7,5,female_Brsc
89,female,0.007883844990719306,0.0033556814503041474,0.005153992591871601,0.053877696160858544,2001,Brsc,0,20,85,1,7,5,female_Brsc
90,female,0.01077665655609448,0.004592727971445409,0.006565283738367334,0.05946866457460879,1019,Brsc,0,10,90,1,5,5,female_Brsc
91,female,0.01077665655609448,0.004592727971445409,0.006565283738367334,0.05946866457460879,1019,Brsc,0,10,90,1,5,5,female_Brsc
92,female,0.01077665655609448,0.004592727971445409,0.006565283738367334,0.05946866457460879,1019,Brsc,0,10,90,1,5,5,female_Brsc
93,female,0.01077665655609448,0.004592727971445409,0.006565283738367334,0.05946866457460879,1019,Brsc,0,10,90,1,5,5,female_Brsc
94,female,0.01077665655609448,0.004592727971445409,0.006565283738367334,0.05946866457460879,1019,Brsc,0,10,90,1,5,5,female_Brsc
95,female,0.01548512596538203,0.0066058188866898486,0.004608012486797371,0.03699500530585974,275,Brsc,0,10,95,0,2,6,female_Brsc
96,female,0.01548512596538203,0.0066058188866898486,0.004608012486797371,0.03699500530585974,275,Brsc,0,10,95,0,2,6,female_Brsc
97,female,0.01548512596538203,0.0066058188866898486,0.004608012486797371,0.03699500530585974,275,Brsc,0,10,95,0,2,6,female_Brsc
98,female,0.01548512596538203,0.0066058188866898486,0.004608012486797371,0.03699500530585974,275,Brsc,0,10,95,0,2,6,female_Brsc
99,female,0.01548512596538203,0.0066058188866898486,0.004608012486797371,0.03699500530585974,275,Brsc,0,10,95,0,2,6,female_Brsc
100,female,0.01548512596538203,0.0066058188866898486,0.004608012486797371,0.03699500530585974,275,Brsc,0,10,95,0,2,6,female_Brsc
