age,sex,inc,mort,ylds..years.lived.with.disability._rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
63,male,2.8193056266059736e-5,9.4064210631882e-6,2.289928273520262e-5,2.4494252347779947e-4,5560,Brsc,0,50,60,0,0,5,male_Brsc
64,male,2.8193056266059736e-5,9.4064210631882e-6,2.289928273520262e-5,2.4494252347779947e-4,5560,Brsc,0,50,60,0,0,5,male_Brsc
65,male,3.9957402755848695e-5,1.4267378685927204e-5,3.236085633627623e-5,3.4474443760101935e-4,5418,Brsc,0,50,65,0,0,5,male_Brsc
66,male,3.9957402755848695e-5,1.4267378685927204e-5,3.236085633627623e-5,3.4474443760101935e-4,5418,Brsc,0,50,65,0,0,5,male_Brsc
67,male,3.9957402755848695e-5,1.4267378685927204e-5,3.236085633627623e-5,3.4474443760101935e-4,5418,Brsc,0,50,65,0,0,5,male_Brsc
68,male,3.9957402755848695e-5,1.4267378685927204e-5,3.236085633627623e-5,3.4474443760101935e-4,5418,Brsc,0,50,65,0,0,5,male_Brsc
69,male,3.9957402755848695e-5,1.4267378685927204e-5,3.236085633627623e-5,3.4474443760101935e-4,5418,Brsc,0,50,65,0,0,5,male_Brsc
70,male,5.7896781528894785e-5,2.1682489469736965e-5,4.691089370514137e-5,4.934589210218464e-4,4800,Brsc,0,50,70,0,0,5,male_Brsc
71,male,5.7896781528894785e-5,2.1682489469736965e-5,4.691089370514137e-5,4.934589210218464e-4,4800,Brsc,0,50,70,0,0,5,male_Brsc
72,male,5.7896781528894785e-5,2.1682489469736965e-5,4.691089370514137e-5,4.934589210218464e-4,4800,Brsc,0,50,70,0,0,5,male_Brsc
73,male,5.7896781528894785e-5,2.1682489469736965e-5,4.691089370514137e-5,4.934589210218464e-4,4800,Brsc,0,50,70,0,0,5,male_Brsc
74,male,5.7896781528894785e-5,2.1682489469736965e-5,4.691089370514137e-5,4.934589210218464e-4,4800,Brsc,0,50,70,0,0,5,male_Brsc
75,male,7.561191635330932e-5,3.201680855802352e-5,6.165885243526768e-5,6.44971943777762e-4,3332,Brsc,0,50,75,0,0,5,male_Brsc
76,male,7.561191635330932e-5,3.201680855802352e-5,6.165885243526768e-5,6.44971943777762e-4,3332,Brsc,0,50,75,0,0,5,male_Brsc
