age,sex,inc,mort,ylds (years lived with disability)_rate_carc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
87,female,0.006159344091048432,0.0031276172089940327,0.0027199611661848327,0.024777368857219203,2001,carc,0,20,85,0,6,5,female_carc
88,female,0.006159344091048432,0.0031276172089940327,0.0027199611661848327,0.024777368857219203,2001,carc,0,20,85,0,6,5,female_carc
89,female,0.006159344091048432,0.0031276172089940327,0.0027199611661848327,0.024777368857219203,2001,carc,0,20,85,0,6,5,female_carc
90,female,0.008636148188326195,0.004392909953735346,0.0035242021852810476,0.028034288695217985,1019,carc,0,10,90,0,4,5,female_carc
91,female,0.008636148188326195,0.004392909953735346,0.0035242021852810476,0.028034288695217985,1019,carc,0,10,90,0,4,5,female_carc
92,female,0.008636148188326195,0.004392909953735346,0.0035242021852810476,0.028034288695217985,1019,carc,0,10,90,0,4,5,female_carc
93,female,0.008636148188326195,0.004392909953735346,0.0035242021852810476,0.028034288695217985,1019,carc,0,10,90,0,4,5,female_carc
94,female,0.008636148188326195,0.004392909953735346,0.0035242021852810476,0.028034288695217985,1019,carc,0,10,90,0,4,5,female_carc
95,female,0.01146237395426766,0.0058388114748094844,0.002739356694520593,0.012256307166705331,275,carc,0,10,95,0,2,6,female_carc
96,female,0.01146237395426766,0.0058388114748094844,0.002739356694520593,0.012256307166705331,275,carc,0,10,95,0,2,6,female_carc
97,female,0.01146237395426766,0.0058388114748094844,0.002739356694520593,0.012256307166705331,275,carc,0,10,95,0,2,6,female_carc
98,female,0.01146237395426766,0.0058388114748094844,0.002739356694520593,0.012256307166705331,275,carc,0,10,95,0,2,6,female_carc
99,female,0.01146237395426766,0.0058388114748094844,0.002739356694520593,0.012256307166705331,275,carc,0,10,95,0,2,6,female_carc
100,female,0.01146237395426766,0.0058388114748094844,0.002739356694520593,0.012256307166705331,275,carc,0,10,95,0,2,6,female_carc
