"","age","sex","sex_age_cat","case_fatality_adaod","case_fatality_brsc","case_fatality_carc","case_fatality_copd","case_fatality_crdd","case_fatality_dmt2","case_fatality_iscs","case_fatality_ishd","case_fatality_lvrc","case_fatality_stmc","case_fatality_strk","case_fatality_tbalc","case_fatality_utrc","incidence_adaod","incidence_brsc","incidence_carc","incidence_copd","incidence_crdd","incidence_dmt2","incidence_iscs","incidence_ishd","incidence_lvrc","incidence_stmc","incidence_strk","incidence_tbalc","incidence_utrc"
"53",52,"male","male_52",0.97582727574791,0.999464837189692,0.913652604461659,0.0019037096646972,0.00704710401234061,0.00134337150253822,0.0500052412594047,0.0285552812130951,0.894289708348257,0.864243360728061,0.0412886218723279,1.20065849394903,1.02531678868153,0.000203505975480778,9.33095847766318e-06,0.000530573808625586,0.00538292386843245,0.0166783781608947,0.00669814794838514,0.00089723647303769,0.003930588524485,7.76025043467931e-05,0.000138618591689101,0.00147218732925341,0.00029235049213727,1e-08
"54",53,"male","male_53",0.934119908797998,0.967475294402923,0.825663049987143,0.00176845904238483,0.00638796539238701,0.00125374648123894,0.0380268901610791,0.0251813184381087,0.782542880375726,0.770706235028584,0.0356343381714449,1.16806389243855,1.00638390445901,0.000203505975480778,9.33095847766318e-06,0.000530573808625586,0.00538292386843245,0.0166783781608947,0.00669814794838514,0.00089723647303769,0.003930588524485,7.76025043467931e-05,0.000138618591689101,0.00147218732925341,0.00029235049213727,1e-08
"55",54,"male","male_54",0.850207987324716,0.991855447108692,0.658282329968812,0.00169672657587951,0.00586206229147562,0.00122890838160615,0.0305767311567692,0.0225231254522489,0.648205919015602,0.600577429651616,0.0313268311452042,1.15669847648343,1.03663166696587,0.000203505975480778,9.33095847766318e-06,0.000530573808625586,0.00538292386843245,0.0166783781608947,0.00669814794838514,0.00089723647303769,0.003930588524485,7.76025043467931e-05,0.000138618591689101,0.00147218732925341,0.00029235049213727,1e-08
"56",55,"male","male_55",0.90625225537998,1.00666813616675,0.607362521439637,0.00372894966317065,0.00815960389567057,0.00136270990241314,0.0298840465650681,0.0280913341329113,1.08204123278322,1.1148224687311,0.0322924797397711,1.42715173353478,1.02471614694555,0.000382425138930276,1.38375107190708e-05,0.000871354818970509,0.00681034430199281,0.0272510975873006,0.00637032812849712,0.00151925805107467,0.00637034542610975,0.000124526021024528,0.00021649474839622,0.00222194131315033,0.000641407859279088,1e-08
"57",56,"male","male_56",0.813529795564653,1.00448970219255,0.428653630730718,0.00343268865321507,0.00731694350784974,0.00129974110301631,0.0239985765674835,0.0244005122712853,1.11730429785571,1.09174740570826,0.0274176111628329,1.30464318923688,0.985195908320559,0.000382425138930276,1.38375107190708e-05,0.000871354818970509,0.00681034430199281,0.0272510975873006,0.00637032812849712,0.00151925805107467,0.00637034542610975,0.000124526021024528,0.00021649474839622,0.00222194131315033,0.000641407859279088,1e-08
"58",57,"male","male_57",0.67475864616118,1.00983040098131,0.285004194553766,0.00319061589362633,0.0066433822840946,0.00122929417686043,0.0202235904406356,0.0216949822638903,1.10032374753035,1.10401654728422,0.0238841402567714,1.23132997498529,0.997075280031875,0.000382425138930276,1.38375107190708e-05,0.000871354818970509,0.00681034430199281,0.0272510975873006,0.00637032812849712,0.00151925805107467,0.00637034542610975,0.000124526021024528,0.00021649474839622,0.00222194131315033,0.000641407859279088,1e-08
"59",58,"male","male_58",0.515464847945373,1.00812885398041,0.20307787995025,0.00300851255018902,0.00609130094471522,0.00118640478088181,0.0168347917973579,0.0194034613864543,1.11364326660172,1.13274985898793,0.0206689420533417,1.14692182675736,1.01420524148613,0.000382425138930276,1.38375107190708e-05,0.000871354818970509,0.00681034430199281,0.0272510975873006,0.00637032812849712,0.00151925805107467,0.00637034542610975,0.000124526021024528,0.00021649474839622,0.00222194131315033,0.000641407859279088,1e-08
"60",59,"male","male_59",0.36653874922308,1.01344475442896,0.148281987698881,0.00283549590894318,0.00562920779812187,0.00112586878243223,0.0148367242263263,0.0176297031791624,1.13936300001109,1.14534836521115,0.0188606340144925,1.10290786429888,0.987350616911725,0.000382425138930276,1.38375107190708e-05,0.000871354818970509,0.00681034430199281,0.0272510975873006,0.00637032812849712,0.00151925805107467,0.00637034542610975,0.000124526021024528,0.00021649474839622,0.00222194131315033,0.000641407859279088,1e-08
"61",60,"male","male_60",0.591365605810083,1.00417564571398,0.215243911957786,0.00473429808405414,0.00878803294291884,0.00126668010771691,0.0310681739570207,0.0277677020660824,1.19077151351112,1.19588783492805,0.0296974325155983,1.55146463264839,1.00562212267612,0.000844161156219985,2.81930562660597e-05,0.00152514006587874,0.00825658739185696,0.0415444012053335,0.00581514535998626,0.00203833423856008,0.00967846125528718,0.000195327123662997,0.000382474824786192,0.00288035788737961,0.00139528764512978,1e-08
"62",61,"male","male_61",0.413398584125528,0.990686324400547,0.17027625517393,0.00440562288103495,0.00802012927850771,0.00121561802894737,0.0272696622170184,0.0247449616730117,1.15855910382094,1.16173022527499,0.0265230626686613,1.37510838703145,1.01700676207022,0.000844161156219985,2.81930562660597e-05,0.00152514006587874,0.00825658739185696,0.0415444012053335,0.00581514535998626,0.00203833423856008,0.00967846125528718,0.000195327123662997,0.000382474824786192,0.00288035788737961,0.00139528764512978,1e-08
